"epoch","obj","obj_mds","obj_confr","p_z","p_0"
151,6750.48254892828,1245.1058451952,137634.417593327,0.215,0.005
152,6838.12882934832,1250.89443348469,139680.859896591,0.215,0.005
153,6655.29640613323,1250.08344947106,135130.323916554,0.227,0.005
154,6741.6557722202,1249.6655874545,137299.754619142,0.213,0.005
155,7144.40375121405,1251.28311376997,147328.015936102,0.193,0.005
156,6852.92693215784,1248.56696292654,140108.999230782,0.225,0.005
157,6805.49525480547,1245.85709653947,138990.95395665,0.222,0.005
158,6718.69101237967,1246.33924257429,136808.794245135,0.206,0.005
159,6830.02488044719,1251.05365030191,139474.280753632,0.191,0.005
160,6812.80774503996,1247.82576912222,139124.549397944,0.199,0.005
161,6954.32820004177,1247.63008473385,142667.452882698,0.213,0.005
162,6864.63155749455,1245.24715437716,140484.610077935,0.229,0.005
163,6673.14754037306,1247.25876531925,135647.219376345,0.195,0.005
164,6759.30827902604,1252.47042362475,137670.946385032,0.218,0.005
165,6753.38002609931,1250.83569024175,137563.608396439,0.238,0.005
166,6711.1123120839,1247.11864188151,136599.84175506,0.204,0.005
167,6724.26782781257,1246.41978325049,136946.201114052,0.202,0.005
168,6782.25821251296,1253.40475137715,138221.336528395,0.222,0.005
169,6818.29138248226,1253.85081976599,139111.014067907,0.196,0.005
170,6803.07948790231,1246.31406424907,138919.135591331,0.217,0.005
171,6744.80311744577,1246.76566405181,137450.936334849,0.18,0.005
172,6848.7049494847,1255.6891341993,139825.395382135,0.203,0.005
173,6836.2397529999,1251.44147634627,139619.956916341,0.197,0.005
174,6935.58288645855,1252.53662844629,142076.156450307,0.205,0.005
175,6839.03704776352,1251.30530459879,139693.293579118,0.252,0.005
176,7041.96214401814,1250.5506098823,144785.288353396,0.202,0.005
177,6724.67274563118,1247.16214018626,136937.765136123,0.207,0.005
178,6753.76206072076,1250.94502748455,137570.425830905,0.208,0.005
179,6734.11439521781,1251.81190632618,137057.562222291,0.197,0.005
180,6861.70211632409,1250.70919350707,140274.823070426,0.207,0.005
181,6783.77810635743,1248.58184281814,138379.906588482,0.222,0.005
182,6692.72001328687,1244.75055229774,136199.236524728,0.195,0.005
183,6915.26403488895,1249.79175320107,141636.807042197,0.192,0.005
184,6750.10510496465,1251.87194618053,137455.828969603,0.184,0.005
185,6858.25108073089,1249.43890187445,140220.304471411,0.204,0.005
186,6716.36174227371,1251.0670189463,136632.368083185,0.213,0.005
187,6819.52877265153,1250.42827174815,139227.512522584,0.194,0.005
188,6739.54855027838,1258.49530698304,137026.331082383,0.204,0.005
189,6788.27851665791,1252.32999934556,138398.712932809,0.205,0.005
190,6750.06312040592,1248.39197068449,137541.778743036,0.207,0.005
191,6792.82287172134,1248.74782120368,138601.876262941,0.23,0.005
192,6717.23078038654,1250.27978389309,136673.774912336,0.215,0.005
193,6755.86487249992,1249.80435234266,137651.513003932,0.197,0.005
194,6758.79333218822,1253.2286694739,137639.116567858,0.207,0.005
195,6976.74960995799,1249.44401813474,143182.639795581,0.237,0.005
196,6834.37040947631,1251.91827232297,139561.303428833,0.186,0.005
197,6798.01066034809,1253.25617832073,138618.862050684,0.195,0.005
198,6814.88674140646,1248.15569768608,139168.276093009,0.204,0.005
199,6731.87448131103,1247.59696315594,137106.937953877,0.211,0.005
200,6928.18632625717,1249.27719588693,141972.728259256,0.219,0.005
